Attacked Unit@7fd22736at position 1521, 405 at time 1607967053445
Moved to 2457, 720 at time 1607969455677
Moved to 2456, 719 at time 1607969455710
Moved to 2455, 718 at time 1607969455937
Moved to 2454, 717 at time 1607969456181
Moved to 2453, 716 at time 1607969456411
Moved to 2452, 715 at time 1607969456597
Moved to 2451, 714 at time 1607969456805
Moved to 2450, 713 at time 1607969456843
Moved to 2449, 712 at time 1607969456888
Moved to 2448, 711 at time 1607969456928
Moved to 2447, 710 at time 1607969456976
Moved to 2446, 709 at time 1607969457019
Moved to 2445, 708 at time 1607969457077
Moved to 2444, 707 at time 1607969457207
Moved to 2443, 706 at time 1607969457427
Moved to 2442, 705 at time 1607969457462
Moved to 2441, 704 at time 1607969457673
Moved to 2440, 703 at time 1607969457734
Moved to 2439, 702 at time 1607969457825
Moved to 2438, 701 at time 1607969458024
Moved to 2437, 700 at time 1607969458059
Moved to 2436, 699 at time 1607969458187
Moved to 2435, 698 at time 1607969458262
Moved to 2434, 697 at time 1607969458386
Moved to 2433, 696 at time 1607969458597
Moved to 2432, 695 at time 1607969458788
Moved to 2431, 694 at time 1607969458892
Moved to 2430, 693 at time 1607969458976
Moved to 2429, 692 at time 1607969459123
Moved to 2428, 691 at time 1607969459330
Moved to 2427, 690 at time 1607969459480
Moved to 2426, 689 at time 1607969459675
Moved to 2425, 688 at time 1607969459829
Moved to 2424, 687 at time 1607969460037
Moved to 2423, 686 at time 1607969460139
Moved to 2422, 685 at time 1607969460223
Moved to 2421, 684 at time 1607969460343
Moved to 2420, 683 at time 1607969460377
Moved to 2419, 682 at time 1607969460513
Moved to 2418, 681 at time 1607969460625
Moved to 2417, 680 at time 1607969460800
Moved to 2416, 679 at time 1607969460975
Moved to 2415, 678 at time 1607969461153
Moved to 2414, 677 at time 1607969461323
Moved to 2413, 676 at time 1607969461495
Moved to 2412, 675 at time 1607969461668
Moved to 2411, 674 at time 1607969461873
Moved to 2410, 673 at time 1607969462018
Moved to 2409, 672 at time 1607969462077
Moved to 2408, 671 at time 1607969462113
Moved to 2407, 670 at time 1607969462175
Moved to 2406, 669 at time 1607969462241
Moved to 2405, 668 at time 1607969462275
Moved to 2404, 667 at time 1607969462311
Moved to 2403, 666 at time 1607969462359
Moved to 2402, 665 at time 1607969462488
Moved to 2401, 664 at time 1607969462698
Moved to 2400, 663 at time 1607969462855
Moved to 2399, 662 at time 1607969463056
Moved to 2398, 661 at time 1607969463221
Moved to 2397, 660 at time 1607969463404
Moved to 2396, 659 at time 1607969463593
Moved to 2395, 658 at time 1607969463788
Moved to 2394, 657 at time 1607969463990
Moved to 2393, 656 at time 1607969464163
