Attacked Unit@55d611daat position 821, 638 at time 1607968586271
Moved to 476, 991 at time 1607968881104
Moved to 475, 992 at time 1607968881138
Moved to 474, 993 at time 1607968881172
Moved to 473, 992 at time 1607968881206
Moved to 474, 991 at time 1607968881241
Moved to 473, 992 at time 1607968881276
Moved to 472, 991 at time 1607968881312
Moved to 471, 992 at time 1607968881348
Moved to 470, 991 at time 1607968881382
Moved to 470, 990 at time 1607968881456
Moved to 468, 991 at time 1607968881529
Moved to 467, 992 at time 1607968881564
Moved to 466, 991 at time 1607968881599
Moved to 465, 990 at time 1607968881635
Moved to 464, 989 at time 1607968881670
Moved to 463, 990 at time 1607968881704
Moved to 463, 990 at time 1607968881810
Moved to 462, 987 at time 1607968881917
Moved to 463, 987 at time 1607968881988
Moved to 462, 986 at time 1607968882022
Moved to 461, 985 at time 1607968882057
Moved to 460, 986 at time 1607968882092
Moved to 461, 985 at time 1607968882374
Moved to 461, 987 at time 1607968882589
Moved to 460, 986 at time 1607968882625
Moved to 461, 987 at time 1607968883299
Moved to 460, 986 at time 1607968883333
Moved to 460, 985 at time 1607968883551
Moved to 461, 986 at time 1607968883733
Moved to 460, 985 at time 1607968883768
Moved to 461, 985 at time 1607968884289
Moved to 460, 984 at time 1607968884323
Moved to 461, 985 at time 1607968884498
Moved to 460, 984 at time 1607968884533
Moved to 461, 983 at time 1607968884740
Moved to 460, 984 at time 1607968884778
Moved to 461, 983 at time 1607968884957
Moved to 460, 984 at time 1607968885026
Moved to 460, 990 at time 1607968886110
Moved to 461, 985 at time 1607968887085
Moved to 460, 984 at time 1607968887121
Moved to 461, 981 at time 1607968887896
Moved to 460, 982 at time 1607968887934
Moved to 461, 983 at time 1607968887969
Moved to 460, 982 at time 1607968888003
Moved to 461, 987 at time 1607968888461
Moved to 460, 986 at time 1607968888495
Moved to 461, 982 at time 1607968888773
Attacked Unit@5bb3e0acat position 729, 987 at time 1607968889056
Got attacked at 460, 982 by Unit@5bb3e0ac at time 1607968889080
Got attacked at 460, 982 by Unit@2ea6e7b1 at time 1607968890616
Attacked Unit@2ea6e7b1at position 214, 1062 at time 1607968890725
Got attacked at 460, 982 by Unit@5bb3e0ac at time 1607968890759
Attacked Unit@2ea6e7b1at position 193, 1017 at time 1607968892409
Got attacked at 460, 982 by Unit@5bb3e0ac at time 1607968892442
Got attacked at 460, 982 by Unit@2ea6e7b1 at time 1607968893990
Died at 460, 982 at time 1607968894022
